date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1962-06-04,"CRICKET GROUND, SYDNEY",BLEDISLOE CUP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,5,14
1962-05-27,", ZYRARDOW",PEACE CUP,POL,POLAND,ROM,ROMANIA,FT,6,26
1962-05-27,"SC SIEMENSSTADT, BERLIN",ITALY TOUR IN GERMANY/ROMANIA 1962,,WEST GERMANY,ITALY,ITALY,FT,11,13
1962-05-26,"EXHIBITION GROUND, BRISBANE",BLEDISLOE CUP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,6,20
1962-05-26,", PRUSZKOW",PEACE CUP,POL,POLAND,CZE,CZECH REPUBLIC,FT,0,17
1962-05-25,"STADION POGONI, SIEDLCE",PEACE CUP,ROM,ROMANIA,EG,EAST GERMANY,FT,25,5
1962-05-24,", CHEAKOWICE",PEACE CUP,POL,POLAND,EG,EAST GERMANY,FT,11,0
1962-05-23,", PIOTRKOW",PEACE CUP,CZE,CZECH REPUBLIC,ROM,ROMANIA,FT,6,11
1962-04-22,"STADE BOURILLOT, DIJON",WEST GERMANY TOUR 1962,FRA,FRANCE,,WEST GERMANY,FT,53,11
1962-04-22,"STADIO MARIO RIGAMONTI, BRESCIA",FRANCE TOUR IN ITALY/ROMANIA 1962,ITALY,ITALY,FRA,FRANCE,FT,3,6
1962-04-22,", POZNAN",ITALY B TOUR IN POLAND 1962,POL,POLAND,,ITALY BITA B,FT,5,22
1962-04-18,"CORNELLA DE LLOBREGAT, BARCELONA",ROYAL AIR FORCE TOUR IN SPAIN 1962,SPAIN,SPAIN,RAF,ROYAL AIR FORCE,FT,12,22
1962-04-15,"CORNELLA DE LLOBREGAT, BARCELONA",WEST GERMANY TOUR 1962,SPAIN,SPAIN,,WEST GERMANY,FT,6,14
1962-04-14,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,IRE,IRELAND,FT,11,0
1962-03-24,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,FRA,FRANCE,FT,3,0
1962-03-17,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,ENG,ENGLAND,FT,3,3
1962-02-24,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,ENG,ENGLAND,FT,13,0
1962-02-24,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,SCOT,SCOTLAND,FT,6,20
1962-02-10,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,IRE,IRELAND,FT,16,0
